Image ID,Original Label,Predicted Label,Probability,Similarity Score,Robustness Score,Consistency Score,Threshold Score,TCAV Score,Raw Projection,Final Score
2,1,1,0.9859833121299744,1.0000000023584112,0.9612628526475655,0.5,0.5884783919900656,0.6230475235344917,0.15887204011371867,0.7840075497135292
3,1,1,0.9999244213104248,0.6469693030992298,0.9721214375211031,0.625,0.6808405695483088,0.8187371642295282,0.32687357071325684,0.7156233832699542
4,1,1,0.9804930090904236,0.6257953926384423,0.9706597317932315,0.6,0.7094984645373188,0.6201943922370374,0.15642259811325657,0.6678477783627053
5,1,1,0.9964866638183594,0.5291890055034476,0.8937895240172358,0.875,0.8099010698497295,0.7175245137413102,0.23998148926396015,0.697294617828824
6,1,1,0.9999529123306274,0.5235665710314854,0.9251516543795149,0.8,0.7704109465121292,1.0,0.48248954375144726,0.7375034358273651
8,1,1,0.9997302889823914,0.6388261813172469,0.96310500521923,1.0,0.9804607555270195,0.8278924835758175,0.3347335047283699,0.8144885830930382
10,0,0,0.0011313526192680001,0.6099925903296544,0.9227944555347116,1.0,0.9892658916007804,0.2422099245868014,-0.16808088036700175,0.6831083503428103
1,0,0,0.0013635156210511923,0.6345234640350544,0.9882332786728302,1.0,0.9477205626644718,0.2435864437080964,-0.16689912481542668,0.6935080866225948
7,0,0,0.0002664286002982408,0.6806837815845393,0.9534906010552289,1.0,0.9749995611999793,0.18793726805550964,-0.2146745034866302,0.7014599605304375
9,0,0,0.02196447364985943,0.6241058567493136,0.9622167635060939,1.0,0.9845814168220386,0.38342342926672734,-0.04684766207659513,0.7202359174269861
17,0,0,0.0009484495967626572,0.6056899558499728,0.8267043060680059,0.8571428571428571,0.9140308118076064,0.2312085566470811,-0.1775256657220018,0.6368641746187754
23,0,0,3.7838843127246946e-05,0.6664958444096665,0.9437067438239637,1.0,0.9979030649526521,0.0,-0.3760205439713483,0.6606544718891608
24,0,0,0.001076313084922731,0.7147491640968493,0.9020251673499697,1.0,0.991690711776755,0.21220396429293803,-0.19384129997109312,0.7172965819988376
27,1,1,0.9979192614555359,0.6317652056431642,0.9773286100806209,0.75,0.6923026237054728,0.7254222863548401,0.2467618067232164,0.7118687940921167
