Image ID,Original Label,Predicted Label,Probability,Similarity Score,Robustness Score,Consistency Score,Threshold Score,TCAV Score,Raw Projection,Final Score
2,1,1,0.9948221445083618,1.0000000024216484,0.8510952129551642,0.5833333333333334,0.6196127622388303,0.5468709225090074,0.0,0.7749256211018019
3,0,0,0.003647289937362075,0.668845637057095,0.7964618640469322,0.875,0.8957246598583879,0.5468709225090074,0.0,0.7221673247080909
4,0,0,0.002563812769949436,0.7383997231597841,0.7044158385160538,1.0,0.9793965980194722,0.5468709225090074,0.0,0.7720851473202414
5,1,1,0.9996680021286011,0.5769580162423296,0.7638138278784259,0.5,0.5052944877243135,0.5468709225090074,0.0,0.5673329469452228
6,1,1,0.9998342990875244,0.5608993702682538,0.9097321487404214,0.5,0.5309195237932727,0.16955783735907598,-0.21554706496500298,0.5038824590221498
8,1,1,0.9994183778762817,0.6733677109561911,0.865454055447042,0.5,0.5256825123215094,0.5468709225090074,0.0,0.6191190512772086
10,1,1,0.9946229457855225,0.8227321921313306,0.741057895475979,0.75,0.5907256714999676,0.5468709225090074,0.0,0.7136817016269268
1,1,1,0.9690529704093933,0.47173731229920246,0.8810138408182684,0.5,0.5326563513372093,0.4467792296958666,-0.057179227178612735,0.5210506076412625
7,0,0,0.04438358545303345,0.850207772408909,0.9020240165447774,0.75,0.787492755218409,0.5468709225090074,0.0,0.7702836084026041
9,1,1,0.9609689116477966,0.7906845210500115,0.8928537714768356,0.42857142857142855,0.4771402773912996,0.5468709225090074,0.0,0.650790125963899
17,0,0,0.0006825897144153714,0.6877613808763479,0.8905127004546035,1.0,0.9678389782784507,1.0,0.25885835012764496,0.859331669137767
23,0,0,0.0002963416918646544,0.901423610863011,0.8684127280419716,0.875,0.8114889597927686,0.5122702775708862,-0.019766257137211744,0.802838116632494
24,1,1,0.8747986555099487,0.8684801264934963,0.9031609653412435,0.375,0.4854942448437214,0.5468709225090074,0.0,0.6761564683598825
27,1,1,0.9996354579925537,0.8247221297577876,0.9551924665778087,0.6666666666666666,0.76613941823598,0.0,-0.31241010953722964,0.6403290112962929
