Image ID,Original Label,Predicted Label,Probability,Similarity Score,Robustness Score,Consistency Score,Threshold Score,TCAV Score,Raw Projection,Final Score
2,1,1,0.998555600643158,1.0000000023657007,0.836471685470887,1.0,0.9439628608524799,0.5906930613304201,0.32871633007049783,0.893380210887325
3,1,1,0.9999932050704956,0.45765116951552287,0.9450087451134873,0.0,0.0,0.8863754463090466,0.7023102010948779,0.45483643157936726
4,1,1,0.9908503293991089,0.49883618084260595,0.7656902782416988,0.7,0.7013558963080868,0.48889357417857837,0.2000929611941196,0.584085599443141
5,1,1,0.999993085861206,0.6493378621527266,0.8905065682268477,0.6,0.5839903301093727,0.8709518232069016,0.6828224962038073,0.7005747158415616
6,1,1,0.9999961853027344,0.5428567603907464,0.9355142400712287,0.5,0.6080313641577959,1.0,0.8458745086537784,0.6768988327870908
8,1,1,0.99993896484375,0.5152480877043512,0.8186554980893884,0.5,0.5738836254458874,0.7384896641683102,0.515456926682134,0.5967452615412245
10,1,1,0.9995982050895691,0.48528345493449854,0.9293540645597979,0.5,0.5342089086771011,0.6812786349078569,0.4431709503354308,0.5784358517129158
1,1,1,0.9999094009399414,0.493664875341176,0.8783973231924828,0.8,0.8212556075304747,0.7536599285475288,0.5346245135314664,0.6792260092947956
7,0,0,0.052197594195604324,0.640890985211214,0.9643189280272482,0.75,0.7959182621270884,0.2625199229781517,-0.0859295174733312,0.637180010801904
9,1,1,0.9996165037155151,0.48476320127820205,0.8241229442146436,0.8571428571428571,0.8040528033549587,0.6589857477038404,0.4150039493574713,0.6572940735481856
17,0,0,9.926151687977836e-05,0.5472341768265406,0.886891411954467,0.9,0.8840082164861087,0.0,-0.41762270999651524,0.5751840443989793
23,1,1,0.9996293783187866,0.49208328290866116,0.9155808351539667,0.6,0.6431953869760036,0.6712611802876998,0.43051392428490676,0.6091229407828016
24,1,1,0.6079071760177612,0.4568670611599865,0.8258371267257102,0.5714285714285714,0.9102568722640474,0.4108015854124868,0.10142395058929293,0.5697436707729557
27,0,0,0.0013172237668186426,0.5731960444275694,0.9145602135180319,0.875,0.8507600340526551,0.09790489155694372,-0.2939201518220582,0.5991794225421179
